QR Clasification,Origin,DPOw,Object,Field,Secondary Object,Secondary Field,Drive configs,ID Rule,Type of Rule,Rule description,Request Date,Implantation Type,Status,Comments,Delivery Date,Conf SDM - Components Name,TEAM,STATUS DEVELOPMENT,version  FINISHED,DEFINITION PERIOD,CATALOG,"Is Critical 
(True/False)",Parameters,Url conf,Url Extralibs
Technical / Domains,Origin,"""DPOw Client Solutions""()",TABLE (en C360),NAMING,Secondary Table (4.3-5.2-6.4),Secondary Field (5.2-5.3-6.4),"""  ""()",ID RULE,Type of  rule, EXPERT RULE Definition English,Fecha de solicitud,IMPLANTATION TYPE,STATUS IMPLANTATION,""" ""()",Fecha de entrega,Conf name,"""CLIENT SOLUTIONS""()",STATUS DEVELOPMENT,version  FINISHED,DEFINITION PERIOD,CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10),"Is Critical 
(True/False)",Parameters,"Url conf
v13.0.4 (new)",Url Extralibs
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,g_information_source_type,,,  ,GL_MVP_t_b0hn_sust_group_mark_3.1_004,3.1-Checking the null data value (NULL or empty value),"The 
field g_information_source_type from the object t_b0hn_sust_group_mark
must be informed",,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,gf_year_id,,,  ,GL_MVP_t_b0hn_sust_group_mark_3.1_005,3.1-Checking the null data value (NULL or empty value),"The 
field gf_year_id from the object t_b0hn_sust_group_mark
must be informed",,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,g_holding_group_id,,,  ,GL_MVP_t_b0hn_sust_group_mark_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(15),,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,g_information_source_type,,,  ,GL_MVP_t_b0hn_sust_group_mark_3.2_004,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(20),,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,gf_year_id,,,  ,GL_MVP_t_b0hn_sust_group_mark_3.2_005,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(4),,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_b0hn_sust_group_mark,"g_holding_group_id
g_information_source_type
gf_year_id
gf_cutoff_date
gf_sustainability_subcatg_id",,,  ,GL_STR_t_b0hn_sust_group_mark_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The table
does not contain duplicates in its Primary Key formed by 
g_holding_group_id
g_information_source_type
gf_year_id
gf_cutoff_date",,Both,DELIVERED, ,19/06/2024,B0HN_sust-group-mark_MRField.conf,CLIENT SOLUTIONS,FINISHED,14.0.9,2Q24,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/14.0.9/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,g_contract_id,,,  ,GL_MVP_t_rzua_sust_operations_3.1_000,3.1-Checking the null data value (NULL or empty value),"The 
field g_contract_id from the object t_rzua_sust_operations
must be informed",,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_mark_id,,,  ,GL_MVP_t_rzua_sust_operations_3.1_001,3.1-Checking the null data value (NULL or empty value),"The 
field gf_sustainability_mark_id from the object t_rzua_sust_operations
must be informed",,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_category_id,,,  ,GL_MVP_t_rzua_sust_operations_3.1_002,3.1-Checking the null data value (NULL or empty value),"The 
field gf_sustainability_category_id from the object t_rzua_sust_operations
must be informed",,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_subcatg_id,,,  ,GL_MVP_t_rzua_sust_operations_3.1_003,3.1-Checking the null data value (NULL or empty value),"The 
field gf_sustainability_subcatg_id from the object t_rzua_sust_operations
must be informed",,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_movement_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_000,3.1-Checking the null data value (NULL or empty value),"The 
field g_movement_id from the object t_g5m3_movement_carbon_footprint  
must be informed",,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_country_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_001,3.1-Checking the null data value (NULL or empty value),"The 
field g_country_id from the object t_g5m3_movement_carbon_footprint  
must be informed",,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_entity_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_002,3.1-Checking the null data value (NULL or empty value),"The 
field g_entity_id from the object t_g5m3_movement_carbon_footprint  
must be informed",,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,gf_entity_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_003,3.1-Checking the null data value (NULL or empty value),"The 
field gf_entity_id from the object t_g5m3_movement_carbon_footprint  
must be informed",,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,g_country_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.1_001,3.1-Checking the null data value (NULL or empty value),"The 
field g_country_id from the object t_cgj7_customer_carbon_footprint 
must be informed",,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,g_entity_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.1_002,3.1-Checking the null data value (NULL or empty value),"The 
field g_entity_id from the object t_cgj7_customer_carbon_footprint 
must be informed",,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,gf_entity_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.1_003,3.1-Checking the null data value (NULL or empty value),"The 
field gf_entity_id from the object t_cgj7_customer_carbon_footprint 
must be informed",,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,g_customer_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(15),,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,g_contract_id,,,  ,GL_MVP_t_rzua_sust_operations_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(50),,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_mark_id,,,  ,GL_MVP_t_rzua_sust_operations_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(10),,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_category_id,,,  ,GL_MVP_t_rzua_sust_operations_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(10),,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_rzua_sust_operations,gf_sustainability_subcatg_id,,,  ,GL_MVP_t_rzua_sust_operations_3.2_003,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(10),,Local,DELIVERED, ,29/02/2024,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/13.0.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_movement_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(70),,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_country_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(2),,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,g_entity_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(6),,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,gf_entity_id,,,  ,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_003,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(4),,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen
PREVIOUS_CUTOFF_DATE: Previous date to be compared",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,g_country_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(2),,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,g_entity_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(6),,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,gf_entity_id,,,  ,GL_MVP_t_cgj7_customer_carbon_footprint_3.2_003,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(4),,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Stock,DPOw Client Solutions,t_cgj7_customer_carbon_footprint,"g_country_id 
g_entity_id 
gf_entity_id 
g_customer_id 
gf_cutoff_date",,,  ,GL_STR_t_cgj7_customer_carbon_footprint_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The table
does not contain duplicates in its Primary Key formed by 
g_country_id
g_entity_id
gf_entity_id
g_customer_id
gf_cutoff_date",,Local,DELIVERED, ,29/02/2024,CGJ7_customer-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q21,N/A,TRUE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/cgj7_hamm/13.0.3/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
MVP TECHNICAL,Modified,DPOw Client Solutions,t_rzua_sust_operations,"g_country_id
g_entity_id
gf_entity_id
gf_cutoff_date
g_contract_id
gf_acquisition_sust_data_date
gf_sustainability_subcatg_id",,,  ,GL_STR_t_rzua_sust_operations_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The table
does not contain duplicates in its Primary Key formed by 
g_country_id
g_entity_id
gf_entity_id
gf_cutoff_date
g_contract_id
gf_acquisition_sust_data_date
gf_sustainability_subcatg_id",,Local,DELIVERED, ,21/05/2025,RZUA_sust-operations_MRField.conf,CLIENT SOLUTIONS,FINISHED,16.1.3,2Q25,N/A,TRUE,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_source_system_sust_type)",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/rzua_hamm/16.1.3/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_g5m3_movement_carbon_footprint,"g_movement_id
g_country_id
g_entity_id
gf_entity_id
gf_movement_validity_strt_date
gf_cutoff_date",,,  ,GL_STR_t_g5m3_movement_carbon_footprint_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The table
does not contain duplicates in its Primary Key formed by 
g_movement_id
g_country_id
g_entity_id
gf_entity_id
gf_movement_validity_strt_date
gf_cutoff_date",,Local,DELIVERED, ,29/02/2024,G5M3_movement-carbon-footprint_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q23,N/A,TRUE,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/g5m3_hamm/13.0.3/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,
