period_month,ug_name,uol1_name,uol2_name,servicel1_name,servicel2_name,uuaa_list,repo,repository_url,kind,branch_from,branch_to,PR_created_date,PR_closed_date,PR_url,PR_status,approval_time (min)
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS INGESTAS,AMBI0000|KCSH0000|KIFV0004|KNWD0002|KSDD0005|MUVT0000|NBV20000|NI0C0000|TMPX0000,globaldevtools.bbva.com/gl_tmpx_app-id-1676150_dsg/glhocsbcfinq,https://globaldevtools.bbva.com/bitbucket/projects/GL_TMPX_APP-ID-1676150_DSG/repos/glhocsbcfinq/browse,dataproc.jobs,feature/DECSINGEST-984-mst-alig,develop,"15 jul 2025, 8:32:04","15 jul 2025, 9:31:37",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_TMPX_APP-ID-1676150_DSG/repos/glhocsbcfinq/pull-requests/65/overview,prmerged,59
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS INGESTAS,AMBI0000|KCSH0000|KIFV0004|KNWD0002|KSDD0005|MUVT0000|NBV20000|NI0C0000|TMPX0000,globaldevtools.bbva.com/gl_tmpx_app-id-1676150_dsg/glhocsbcfinq,https://globaldevtools.bbva.com/bitbucket/projects/GL_TMPX_APP-ID-1676150_DSG/repos/glhocsbcfinq/browse,dataproc.jobs,feature/DECSINGEST-984-conflicts,develop,"15 jul 2025, 16:52:01","16 jul 2025, 6:22:33",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_TMPX_APP-ID-1676150_DSG/repos/glhocsbcfinq/pull-requests/67/overview,prmerged,810
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/bonzk/bonzk_41974_digital_tools_pyme_kctd_json,https://globaldevtools.bbva.com/bitbucket/projects/BONZK/repos/bonzk_41974_digital_tools_pyme_kctd_json/browse,code,feature/t_kctd_interaction_activity,master,"13 jun 2025, 17:45:53","12 jul 2025, 20:21:17",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/BONZK/repos/bonzk_41974_digital_tools_pyme_kctd_json/pull-requests/14/overview,prdeclined,29174
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-inq,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-inq/browse,dataproc.jobs,develop,master,"3 jul 2025, 11:13:31","3 jul 2025, 11:19:32",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-inq/pull-requests/77/overview,prmerged,6
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-inq,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-inq/browse,dataproc.jobs,feature/fdbk-table-format,develop,"3 jul 2025, 11:02:09","3 jul 2025, 11:13:04",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-inq/pull-requests/76/overview,prmerged,10
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-job,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/browse,dataproc.jobs,feature/DECSCLIENT-3350,develop,"17 jul 2025, 11:41:00","17 jul 2025, 12:12:40",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/pull-requests/61/overview,prmerged,31
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-job,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/browse,dataproc.jobs,develop,master,"17 jul 2025, 12:12:53","17 jul 2025, 12:24:28",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/pull-requests/62/overview,prmerged,11
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-job,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/browse,dataproc.jobs,feature/b0hn-table-format,develop,"3 jul 2025, 11:16:06","3 jul 2025, 11:28:05",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/pull-requests/59/overview,prmerged,11
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-job,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/browse,dataproc.jobs,develop,master,"3 jul 2025, 11:29:45","3 jul 2025, 11:36:58",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-job/pull-requests/60/overview,prmerged,7
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_b0hn_app-id-23103_dsg/gl-cs-360-gdh-scl-toolkit,https://globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-scl-toolkit/browse,dataproc.jobs,feature/DECSCLIENT-3350,develop,"14 jul 2025, 12:54:29","15 jul 2025, 12:23:26",https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/gl-cs-360-gdh-scl-toolkit/pull-requests/19/overview,prmerged,1408
