ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
27dd456173;gf_annl_avg_npa_b_amount is not null;{'gf_annl_avg_npa_b_amount'};t_kceg_agg_balances;27dd456173;Distinto de null;2Q24
27dd4561e9;gf_3m_avg_npa_b_amount is not null;{'gf_3m_avg_npa_b_amount'};t_kceg_agg_balances;27dd4561e9;Distinto de null;2Q24
27b63118bf;g_local_currency_id is not null and g_local_currency_id != '';{'g_local_currency_id'};t_kceg_agg_balances;27b63118bf;Distinto de Null o vacío;1Q24
27d5f10a11;gf_cutoff_date='CUTOFF_DATE';{'gf_mthly_agg_oper_number'};t_kceg_agg_services;27d5f10a11;"t_kceg_customer_products gf_contract_comm_situation_id=""A"" (unión por gf_cutoff_date y g_customer_id)";1Q24
27d5f10bbb;gf_mthly_agg_oper_number >= 1;{'gf_mthly_agg_cust_mov_amount'};t_kceg_agg_services;27d5f10bbb;(gf_mthly_agg_oper_number) es mayor o igual a 1;1Q24
27d5f10c31;gf_mthly_agg_cmsn_coll_amount is not null;{'gf_mthly_agg_cmsn_coll_amount'};t_kceg_agg_services;27d5f10c31;Null / Vacío;1Q24
27d5f10ca8;gf_mthly_agg_cmsn_rtb_amount is not null;{'gf_mthly_agg_cmsn_rtb_amount'};t_kceg_agg_services;27d5f10ca8;Null / Vacío;1Q24
27d5f105ff;gf_cutoff_date='CUTOFF_DATE';{'gf_annual_oper_number'};t_kceg_agg_services;27d5f105ff;;3Q24
27d5f106ce;gf_cutoff_date='CUTOFF_DATE';{'gf_12m_oper_number'};t_kceg_agg_services;27d5f106ce;;3Q24
27d5f10797;gf_cutoff_date='CUTOFF_DATE';{'gf_annl_agg_cmsn_coll_amount'};t_kceg_agg_services;27d5f10797;;3Q24
27d5f1085d;gf_cutoff_date='CUTOFF_DATE';{'gf_12m_agg_cmsn_coll_amount'};t_kceg_agg_services;27d5f1085d;;3Q24
27d5f108e9;gf_cutoff_date='CUTOFF_DATE';{'gf_annl_agg_cmsn_rtb_amount'};t_kceg_agg_services;27d5f108e9;;3Q24
27d5f10987;gf_cutoff_date='CUTOFF_DATE';{'gf_12m_agg_cmsn_rtb_amount'};t_kceg_agg_services;27d5f10987;;3Q24
27d5f10aa6;gf_cutoff_date='CUTOFF_DATE';{'gf_annl_agg_cust_mov_amount'};t_kceg_agg_services;27d5f10aa6;;3Q24
27d5f10b2b;gf_cutoff_date='CUTOFF_DATE';{'gf_12m_agg_cust_mov_amount'};t_kceg_agg_services;27d5f10b2b;;3Q24
2782136698;gf_recurring_incomes_amount is not null;{'gf_recurring_incomes_amount'};t_kceg_cust_agg_recurring_income;2782136698;Distinto de Null;4Q23
2781ff9d57;g_recurring_incomes_type is not null and g_recurring_incomes_type != '';{'g_recurring_incomes_type'};t_kceg_cust_agg_recurring_income;2781ff9d57;Distinto de Null o vacío;4Q23
278213f09a;gf_detl_recurring_incomes_type is not null and gf_detl_recurring_incomes_type != '';{'gf_detl_recurring_incomes_type'};t_kceg_cust_agg_recurring_income;278213f09a;Distinto de Null o vacío;2Q24
27b63111cb;g_currency_id is not null and g_currency_id != '';{'g_currency_id'};t_kceg_cust_agg_recurring_income;27b63111cb;Distinto de Null o vacío;1Q24
2782112179;gf_recurring_incomes_ind_type is not null and gf_recurring_incomes_ind_type != '';{'gf_recurring_incomes_ind_type'};t_kceg_cust_agg_recurring_income;2782112179;Distinto de Null o vacío;4Q23
2815c7e1a6;gf_customer_outlier_ind_type  is not null and gf_customer_outlier_ind_type != '' ;{'gf_customer_outlier_ind_type'};t_kceg_customer_app_expertise;2815c7e1a6;Distinto de null o vacío;3Q24
28142ab113;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kceg_customer_app_expertise;28142ab113;Distinto de null o vacío;3Q24
28142ab214;g_exprts_cst_bank_app_type is not null and g_exprts_cst_bank_app_type != '';{'g_exprts_cst_bank_app_type'};t_kceg_customer_app_expertise;28142ab214;Distinto de null o vacío;3Q24
28142ab308;g_exprts_cst_bank_app_prev_iter_type is not null and g_exprts_cst_bank_app_prev_iter_type != '';{'g_exprts_cst_bank_app_prev_iter_type'};t_kceg_customer_app_expertise;28142ab308;Distinto de null o vacío;3Q24
28142ab405;g_exprts_cst_bank_app_next_iter_type is not null and g_exprts_cst_bank_app_next_iter_type != '';{'g_exprts_cst_bank_app_next_iter_type'};t_kceg_customer_app_expertise;28142ab405;Distinto de null o vacío;3Q24
27ee1ba517;g_customer_digital_target_type = 'Y';{'g_customer_mobile_target_type'};t_kceg_customer_engagement_dp;27ee1ba517;Sil g_customer_digital_target_type=Y;2Q24
27ee1bcb2e;g_customer_target_type = 'Y';{'g_customer_digital_target_type'};t_kceg_customer_engagement_dp;27ee1bcb2e;Si g_customer_target_type=Y;2Q24
27ee1bef91;g_digital_affiliation_type = 'Y';{'g_mobile_behaviour_type'};t_kceg_customer_engagement_dp;27ee1bef91;Si g_digital_affiliation_type= Y;2Q24
27ee1c197c;g_mobile_behaviour_type = 'Y';{'g_digital_affiliation_type'};t_kceg_customer_engagement_dp;27ee1c197c;g_mobile_behaviour_type=Y;2Q24
27ee1c9e44;g_mobile_behaviour_type = 'Y';{'g_customer_target_type'};t_kceg_customer_engagement_dp;27ee1c9e44;g_mobile_behaviour_type= Y ;2Q24
27ee1ce335;g_customer_digital_target_type = 'Y';{'g_customer_target_type'};t_kceg_customer_engagement_dp;27ee1ce335;Si g_customer_digital_target_type = Y ;2Q24
27f5494ca1;gf_cust_comm_situation_type is not null and gf_cust_comm_situation_type != '';{'gf_cust_comm_situation_type'};t_kceg_customer_engagement_dp;27f5494ca1;Distinto de Null o vacío;2Q24
GL_DOM_t_kceg_customer_engagement_3.5_001;g_customer_digital_target_type=='Y';{'g_customer_target_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_3.5_001;g_customer_digital_target_type=Y;1Q22
280d14c0c0;g_mbl_trgt_c_lt_3_m_1d3_ind_type is not null and g_mbl_trgt_c_lt_3_m_1d3_ind_type != '';{'g_mbl_trgt_c_lt_3_m_1d3_ind_type'};t_kceg_customer_engagement;280d14c0c0;Distinto de null o vacío;3Q24
280d14c1d9;g_dig_trgt_c_lt_3_m_1d3_ind_type is not null and g_dig_trgt_c_lt_3_m_1d3_ind_type != '';{'g_dig_trgt_c_lt_3_m_1d3_ind_type'};t_kceg_customer_engagement;280d14c1d9;Distinto de null o vacío;3Q24
28142ab7e5;gf_cust_class_quadrant_segment_type is not null and gf_cust_class_quadrant_segment_type != '';{'gf_cust_class_quadrant_segment_type'};t_kceg_customer_engagement;28142ab7e5;Distinto de null o vacío;3Q24
27b61c9167;gf_cust_comm_situation_type is not null and gf_cust_comm_situation_type != '';{'gf_cust_comm_situation_type'};t_kceg_customer_engagement;27b61c9167;Distinto de Null o vacío;1Q24
GL_DOM_t_kceg_customer_engagement_5.3_000;g_customer_mobile_target_type = 'Y';{'g_customer_mobile_target_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_5.3_000;Si g_customer_mobile_target_type= Y;4Q22
GL_DOM_t_kceg_customer_engagement_5.3_001;g_comm_act_mh_cust_ind_type = 'Y';{'g_digital_affiliation_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_5.3_001;Si g_comm_act_mh_cust_ind_type= Y;4Q22
