ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
287b3be2a5;{'g_user_cnst_tr_ac_ios_type'};t_kctd_device_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E499' and gf_frequency_type='D';287b3be2a5;E499;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E499;D
287b3be33b;{'g_source_event_type'};t_kctd_event_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E495' and gf_frequency_type='D';287b3be33b;E495;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E495;D
GL_DOL_t_knfa_energy_certifications_3.5_000;{'gf_co2_emissions_letter_id'};t_knfa_energy_certifications;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B309' and gf_frequency_type='M';GL_DOL_t_knfa_energy_certifications_3.5_000;B309;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B309;M
GL_DOL_t_knfa_energy_certifications_3.5_001;{'gf_energ_cert_data_srce_type'};t_knfa_energy_certifications;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B310' and gf_frequency_type='M';GL_DOL_t_knfa_energy_certifications_3.5_001;B310;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B310;M
GL_DOL_t_knfa_energy_certifications_3.5_002;{'gf_energy_cert_data_type'};t_knfa_energy_certifications;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B308' and gf_frequency_type='M';GL_DOL_t_knfa_energy_certifications_3.5_002;B308;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B308;M
2849ee2896;{'g_asset_type_id'};t_knfa_energy_certifications;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='A189' and gf_frequency_type='M';2849ee2896;A189;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;A189;M
287b3be532;{'g_entific_id'};t_kpan_d_c_form_opportunity;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'CD07' and gf_frequency_type='D';287b3be532;CD07;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;CD07;D
287b3be5df;{'g_entific_id'};t_kpan_d_c_form_oppy_cust_fields;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'CD07' and gf_frequency_type='D';287b3be5df;CD07;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;CD07;D
287b3be7be;{'g_country_id'};t_kusu_device_his;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='D';287b3be7be;C245;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C245;D
287b3be85e;{'g_person_role_type'};t_kusu_device_his;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C529' and gf_frequency_type='D';287b3be85e;C529;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C529;D
