ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters
287b3bce61;{'g_origin_sust_oper_ind_type'};t_g5m3_agg_mlzed_amount;;;['Y', 'N'];;;287b3bce61;Y/N;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2848d7ccd8;{'gf_bus_group_company_ind_type'};t_l9ct_gp_cust_ext_data_comp;;;['Y', 'N'];;;2848d7ccd8;Y/N;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a1e3;{'g_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;g_green_bond_ind_type is not null;;['Y', 'N'];;;282f87a1e3;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a2ed;{'g_eu_taxo_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;g_eu_taxo_green_bond_ind_type is not null;;['Y', 'N'];;;282f87a2ed;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
282f87a42e;{'g_icma_stds_green_bnd_ind_type'};t_l9ct_green_bonds_secty_flag;g_icma_stds_green_bnd_ind_type is not null;;['Y', 'N'];;;282f87a42e;Y/N;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_tdi3_communication_3.5_011;{'g_cmun_always_on_ind_type'};t_tdi3_communication;g_cmun_always_on_ind_type != '' and g_cmun_always_on_ind_type is not null;;['Y', 'N', '1', '0'];;;GL_DOM_t_tdi3_communication_3.5_011;Y/N/1/0;Daily;Distinto de Null o vacío;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
