id_ns;uuaa;country;type
gl.mxif.app-id-1681756.pro;mxif;glo;pro
gl.kpar.app-id-1671786.pro;kpar;glo;pro
gl.kale.app-id-1671732.pro;kale;glo;pro
gl.kmnt.app-id-1671695.pro;kmnt;glo;pro
gl.kscr.app-id-1671638.pro;kscr;glo;pro
gl.ktc9.app-id-1670739.pro;ktc9;glo;pro
gl.lphe.app-id-809603.pro;lphe;glo;pro
gl.kcrr.app-id-1637091.pro;kcrr;glo;pro
gl.kira.app-id-1355655.pro;kira;glo;pro
gl.ilar.app-id-1617591.pro;ilar;glo;pro
gl.krit.app-id-1512612.pro;krit;glo;pro
gl.ktes.app-id-1575481.pro;ktes;glo;pro
gl.xcib.app-id-1500583.pro;xcib;glo;pro
gl.tesg.app-id-1041055.pro;tesg;glo;pro
gl.vboq.app-id-1550411.pro;vboq;glo;pro
gl.bjp9.app-id-1542907.pro;bjp9;glo;pro
gl.tlhr.app-id-1120806.pro;tlhr;glo;pro
gl.kmor.app-id-1492510.pro;kmor;glo;pro
gl.ftae.app-id-1476027.pro;ftae;glo;pro
gl.sb4g.app-id-1466392.pro;sb4g;glo;pro
gl.kwdl.app-id-1463363.pro;kwdl;glo;pro
gl.ktkr.app-id-1456587.pro;ktkr;glo;pro
gl.fslb.app-id-1448403.pro;fslb;glo;pro
gl.fctk.app-id-1430443.pro;fctk;glo;pro
gl.fras.app-id-1430461.pro;fras;glo;pro
gl.frei.app-id-1430419.pro;frei;glo;pro
gl.u8cd.app-id-1430325.pro;u8cd;glo;pro
gl.fstm.app-id-1430279.pro;fstm;glo;pro
gl.fgug.app-id-1430452.pro;fgug;glo;pro
gl.fdeo.app-id-1430409.pro;fdeo;glo;pro
gl.fsan.app-id-1430371.pro;fsan;glo;pro
gl.fsag.app-id-1430322.pro;fsag;glo;pro
gl.fbtq.app-id-1430181.pro;fbtq;glo;pro
gl.gh29.app-id-938610.pro;gh29;glo;pro
gl.enzi.app-id-1404327.pro;enzi;glo;pro
