conf;job_url;table;secundary_table;job;version
KCPG_expense-group_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group;;kcpg-gl-hmm-qlt-expensegroupmrfield-01.json;"""18.3.3"""
KCPG_expense-group_KCOG_entity_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupmmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupmmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group;t_kcog_entity;kcpg-gl-hmm-qlt-expensegroupmmrule-01.json;"""18.3.3"""
KCPG_expense-group-member_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupmembermrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupmembermrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_member;;kcpg-gl-hmm-qlt-expensegroupmembermrfield-01.json;"""18.3.3"""
KCPG_expense-group-member_KCPG_expense-group_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupmembermmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupmembermmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_member;t_kcpg_expense_group;kcpg-gl-hmm-qlt-expensegroupmembermmrule-01.json;"""18.3.3"""
KCPG_expense-group-member_KCOG_entity_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupmembermmrule-02.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupmembermmrule-02.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_member;t_kcog_entity;kcpg-gl-hmm-qlt-expensegroupmembermmrule-02.json;"""18.3.3"""
KCPG_expense-group-participant_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupparticimrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupparticimrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_participant;;kcpg-gl-hmm-qlt-expensegroupparticimrfield-01.json;"""18.3.3"""
KCPG_expense-group-participant_KCOG_entity_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupparticimmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupparticimmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_participant;t_kcog_entity;kcpg-gl-hmm-qlt-expensegroupparticimmrule-01.json;"""18.3.3"""
KCPG_expense-group-participant_KBTQ_role-person_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-expensegroupparticimmrule-02.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-expensegroupparticimmrule-02.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_expense_group_participant;t_kbtq_role_person;kcpg-gl-hmm-qlt-expensegroupparticimmrule-02.json;"""18.3.3"""
KCPG_general-budgets_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalbudgetsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalbudgetsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_budgets;;kcpg-gl-hmm-qlt-generalbudgetsmrfield-01.json;"""18.3.3"""
KCPG_general-budgets_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalbudgetsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalbudgetsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_budgets;;kcpg-gl-hmm-qlt-generalbudgetsmrobject-01.json;"""18.3.3"""
KCPG_general-budgets_KCOG_currency_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalbudgetsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalbudgetsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_budgets;t_kcog_currency;kcpg-gl-hmm-qlt-generalbudgetsmmrule-01.json;"""18.3.3"""
KCPG_general-budgets_KCOG_country_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalbudgetsmmrule-02.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalbudgetsmmrule-02.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_budgets;t_kcog_country;kcpg-gl-hmm-qlt-generalbudgetsmmrule-02.json;"""18.3.3"""
KCPG_general-budgets_KBTQ_role-person_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalbudgetsmmrule-03.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalbudgetsmmrule-03.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_budgets;t_kbtq_role_person;kcpg-gl-hmm-qlt-generalbudgetsmmrule-03.json;"""18.3.3"""
KCPG_general-goals_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalgoalsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalgoalsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_goals;;kcpg-gl-hmm-qlt-generalgoalsmrfield-01.json;"""18.3.3"""
