implantacion,table,conf_type,conf,version,params,ConfigURL,Extralibs,version_simple,unique_id,NombreJob,LARGO_MAX41+5
Holding,t_l9ct_grp_nclnt_crbn_data_scp3,MRField,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,,900,grpnclntcrbndatascpmrfield,l9ct-gl-hmm-qlt-grpnclntcrbndatascpmrfield-,43
Holding,t_l9ct_grp_nclnt_crbn_data_scp3,MRField,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,9.0.0,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local%2Fcom%2Fbbva%2Fprojectsdatio%2Fc360hammcustom%2F1.0.0%2Fc360hammcustom-1.0.0-jar-with-dependencies.jar,900,grpnclntcrbndatascpmrfield,l9ct-gl-hmm-qlt-grpnclntcrbndatascpmrfield-,43
Holding,t_l9ct_grp_nclnt_crbn_data_scp3,MRObject,L9CT_grp-nclnt-crbn-data-scp3_MRObject.conf,9.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-nclnt-crbn-data-scp3_MRObject.conf,,900,grpnclntcrbndatascpmrobject,l9ct-gl-hmm-qlt-grpnclntcrbndatascpmrobject-,44
Holding,t_l9ct_grp_nclnt_paris_alignment,MRField,L9CT_grp-nclnt-paris-alignment_MRField.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-nclnt-paris-alignment_MRField.conf,,900,grpnclntparisalignmmrfield,l9ct-gl-hmm-qlt-grpnclntparisalignmmrfield-,43
Holding,t_l9ct_grp_nclnt_paris_alignment,MRObject,L9CT_grp-nclnt-paris-alignment_MRObject.conf,9.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-nclnt-paris-alignment_MRObject.conf,,900,grpnclntparisalignmmrobject,l9ct-gl-hmm-qlt-grpnclntparisalignmmrobject-,44
Holding,t_l9ct_grp_ncs_co_tx_alig_sctr_r,MRField,L9CT_grp-ncs-co-tx-alig-sctr-r_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_grp-ncs-co-tx-alig-sctr-r_MRField.conf,,1000,grpncscotxaligsctrrmrfield,l9ct-gl-hmm-qlt-grpncscotxaligsctrrmrfield-,43
Holding,t_l9ct_grp_ncs_co_tx_alig_sctr_r,MRField,L9CT_grp-ncs-co-tx-alig-sctr-r_MRField.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-ncs-co-tx-alig-sctr-r_MRField.conf,,900,grpncscotxaligsctrrmrfield,l9ct-gl-hmm-qlt-grpncscotxaligsctrrmrfield-,43
Holding,t_l9ct_grp_ncs_co_tx_alig_sctr_r,MRObject,L9CT_grp-ncs-co-tx-alig-sctr-r_MRObject.conf,9.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/L9CT/L9CT_grp-ncs-co-tx-alig-sctr-r_MRObject.conf,,900,grpncscotxaligsctrrmrobject,l9ct-gl-hmm-qlt-grpncscotxaligsctrrmrobject-,44
Holding,t_l9ct_industry_agg_esg_scores,MMRule,L9CT_industry-agg-esg-scores_L9CT_esg-scores-industry-taxo_MMRule.conf,13.0.3,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/13.0.3/entregable_hammurabi/L9CT/L9CT_industry-agg-esg-scores_L9CT_esg-scores-industry-taxo_MMRule.conf,,1303,industryaggesgscoremmrule,l9ct-gl-hmm-qlt-industryaggesgscoremmrule-,42
Holding,t_l9ct_industry_agg_esg_scores,MRField,L9CT_industry-agg-esg-scores_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_industry-agg-esg-scores_MRField.conf,,1000,industryaggesgscoremrfield,l9ct-gl-hmm-qlt-industryaggesgscoremrfield-,43
Holding,t_l9ct_industry_agg_esg_scores,MRField,L9CT_industry-agg-esg-scores_MRField.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_industry-agg-esg-scores_MRField.conf,,1100,industryaggesgscoremrfield,l9ct-gl-hmm-qlt-industryaggesgscoremrfield-,43
Holding,t_l9ct_industry_agg_esg_scores,MRField,L9CT_industry-agg-esg-scores_MRField.conf,11.0.3,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.3/entregable_hammurabi/L9CT/L9CT_industry-agg-esg-scores_MRField.conf,,1103,industryaggesgscoremrfield,l9ct-gl-hmm-qlt-industryaggesgscoremrfield-,43
Holding,t_l9ct_industry_agg_esg_scores,MRObject,L9CT_industry-agg-esg-scores_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_industry-agg-esg-scores_MRObject.conf,,1000,industryaggesgscoremrobject,l9ct-gl-hmm-qlt-industryaggesgscoremrobject-,44
Holding,t_l9ct_inst_esg_scores_dimension,MMRule,L9CT_inst-esg-scores-dimension_L9CT_institutions-esg_MMRule.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_inst-esg-scores-dimension_L9CT_institutions-esg_MMRule.conf,,1100,instesgscoresdimensmmrule,l9ct-gl-hmm-qlt-instesgscoresdimensmmrule-,42
Holding,t_l9ct_inst_esg_scores_dimension,MRField,L9CT_inst-esg-scores-dimension_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_inst-esg-scores-dimension_MRField.conf,,1000,instesgscoresdimensmrfield,l9ct-gl-hmm-qlt-instesgscoresdimensmrfield-,43
Holding,t_l9ct_inst_esg_scores_dimension,MRField,L9CT_inst-esg-scores-dimension_MRField.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_inst-esg-scores-dimension_MRField.conf,,1100,instesgscoresdimensmrfield,l9ct-gl-hmm-qlt-instesgscoresdimensmrfield-,43
