,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
5303,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_contract-output-emissions_KCOG_country_MMRule.conf,t_rzua_contract_output_emissions,GL_DOM_t_rzua_contract_output_emissions_4.3_000,g_country_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,100,4.3
5444,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-kpi-link-oper-condit_KSAN_eom-contract_MMRule.conf,t_rzua_sust_kpi_link_oper_condit,27a26dddd6,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_eom_contract/'],,,,100,4.3
5462,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-kpi-link-operation_KSAN_eom-contract_MMRule.conf,t_rzua_sust_kpi_link_operation,27a26e22d0,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_eom_contract/'],,,,100,4.3
5478,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations-cib_G5M3_sust-mob-operations_MMRule.conf,t_rzua_sust_operations_cib,279ffe4b82,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/g5m3/data/t_g5m3_sust_mob_operations/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",,100,4.3
5479,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations-cib_KCOG_entity_MMRule.conf,t_rzua_sust_operations_cib,27bfe86820,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",,100,4.3
5500,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations-cib_RZUA_sust-operations-cib_MMRule.conf,t_rzua_sust_operations_cib,27b5841b93,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,"(gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')) AND (gf_cutoff_date='PREVIOUS_CUTOFF_DATE')",['/data/master/rzua/data/t_rzua_sust_operations_cib/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",['gf_source_system_sust_type'],100,4.3
5501,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations-cib_RZUA_sust-operations-cib_MMRule.conf,t_rzua_sust_operations_cib,27b5841c13,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,"(gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')) AND (gf_cutoff_date='PREVIOUS_CUTOFF_DATE')",['/data/master/rzua/data/t_rzua_sust_operations_cib/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",['g_country_id'],100,4.3
5502,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations-cib_RZUA_sust-operations_MMRule.conf,t_rzua_sust_operations_cib,27b5827687,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/rzua/data/t_rzua_sust_operations/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",,100,4.3
5547,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/rzua/glgldh360gloqlt/hammurabi/confs/master/rzua/RZUA_sust-operations_KCOG_entity_MMRule.conf,t_rzua_sust_operations,2849645298,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_rzua_sust_operations'],,,,100,4.3
5644,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/tdi3/glgldh360gloqlt/hammurabi/confs/master/tdi3/TDI3_communication_L9SV_placement-display_MMRule.conf,t_tdi3_communication,GL_DOM_t_tdi3_communication_4.3_000,gf_communication_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/l9sv/data/t_l9sv_placement_display/'],,gf_communication_id != '' and gf_communication_id is not null,,100,4.3
5684,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/tdi3/glgldh360gloqlt/hammurabi/confs/master/tdi3/TDI3_communication_TDI3_tracking-code_MMRule.conf,t_tdi3_communication,GL_DOM_t_tdi3_communication_4.3_001,gf_communication_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/tdi3/data/t_tdi3_tracking_code/'],,gf_communication_id != '' and gf_communication_id is not null,,100,4.3
5706,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/tdi3/glgldh360gloqlt/hammurabi/confs/master/tdi3/TDI3_tracking-code_L9SV_placement-display_MMRule.conf,t_tdi3_tracking_code,GL_DOM_t_tdi3_tracking_code_4.3_001,gf_communication_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/l9sv/data/t_l9sv_placement_display/'],,,,100,4.3
5725,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/tdi3/glgldh360gloqlt/hammurabi/confs/master/tdi3/TDI3_tracking-code_TDI3_communication_MMRule.conf,t_tdi3_tracking_code,GL_DOM_t_tdi3_tracking_code_4.3_000,gf_communication_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/tdi3/data/t_tdi3_communication/'],,,,100,4.3
