,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
447,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/ejb6/glgldh360gloqlt/hammurabi/confs/master/ejb6/EJB6_digital-sales_KCOG_country_MMRule.conf,t_ejb6_digital_sales,GL_STR_t_ejb6_digital_sales_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
448,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/ejb6/glgldh360gloqlt/hammurabi/confs/master/ejb6/EJB6_digital-sales_KCOG_entity_MMRule.conf,t_ejb6_digital_sales,GL_STR_t_ejb6_digital_sales_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
449,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/ejb6/glgldh360gloqlt/hammurabi/confs/master/ejb6/EJB6_digital-sales_KSAN_contract-global-local_MMRule.conf,t_ejb6_digital_sales,GL_STR_t_ejb6_digital_sales_4.3_002,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
486,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/ejb6/glgldh360gloqlt/hammurabi/confs/master/ejb6/EJB6_operation-calculations_KAOC_eom-operation_MMRule.conf,t_ejb6_operation_calculations,GL_STR_t_ejb6_operation_calculations_4.3_000,g_operation_number_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kaoc/data/t_kaoc_eom_operation/'],,,,ACCEPTANCE_MIN_KAOC_00,4.3
555,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_agg-mlzed-amount_SCAT_sustainability-hierarch_MMRule.conf,t_g5m3_agg_mlzed_amount,289154b62a,g_sustnbl_subcategory_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_scat_sustainability_hierarch'],,g_sustnbl_subcategory_id != 'N/A',,ACCEPTANCE_MIN_SCAT_00,4.3
556,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_KCOG_country_MMRule.conf,t_g5m3_movement_carbon_footprint,GL_STR_t_g5m3_movement_carbon_footprint_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
557,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_KCOG_entity_MMRule.conf,t_g5m3_movement_carbon_footprint,GL_STR_t_g5m3_movement_carbon_footprint_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
558,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_KMOL_account-movements_MMRule.conf,t_g5m3_movement_carbon_footprint,GL_STR_t_g5m3_movement_carbon_footprint_4.3_002,g_movement_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kmol/data/t_kmol_account_movements/'],,,,ACCEPTANCE_MIN_KMOL_00,4.3
592,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_sust-mob-operations-eod_KSAN_contract-global-local_MMRule.conf,t_g5m3_sust_mob_operations_eod,277e947abc,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
607,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_sust-mob-operations_KSAN_contract-global-local_MMRule.conf,t_g5m3_sust_mob_operations,GL_STR_t_g5m3_sust_mob_operations_4.3_000,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
