ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
27b91e838a;{'g_data_source_origin_type'};t_re4m_physical_interaction_acti;g_data_source_origin_type is not null and g_data_source_origin_type != '';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D056' and gf_frequency_type='D';27b91e838a;D056;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D056;D
27d6816fe6;{'g_entific_id'};t_re4m_physical_interaction_acti;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='CD07' and gf_frequency_type='D';27d6816fe6;CD07;Daily;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;CD07;D
GL_DOM_t_re4m_physical_interaction_3.5_000;{'g_country_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_000;C245;Daily;;3Q21;Oct_2021;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C245;D
GL_DOM_t_re4m_physical_interaction_3.5_001;{'g_person_role_type'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C529' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_001;C529;Daily;;3Q21;Oct_2021;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C529;D
GL_DOM_t_re4m_physical_interaction_3.5_002;{'g_supra_channel_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C069' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_002;C069;Daily;;3Q21;Oct_2021;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C069;D
GL_DOM_t_re4m_physical_interaction_3.5_003;{'g_channel_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C071' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_003;C071;Daily;;3Q21;Oct_2021;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C071;D
GL_DOM_t_re4m_physical_interaction_3.5_005;{'g_gbl_segment_supragroup_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C591' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_005;C591;Daily;;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C591;D
GL_DOM_t_re4m_physical_interaction_3.5_008;{'g_business_line_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C707' and gf_frequency_type='D';GL_DOM_t_re4m_physical_interaction_3.5_008;C707;Daily;;1Q22;Abr_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C707;D
27b91e80f9;{'g_interaction_type'};t_re4m_physical_interaction;g_interaction_type is not null and g_interaction_type != '';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D196' and gf_frequency_type='D';27b91e80f9;D196;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D196;D
27b91e8337;{'g_data_source_origin_type'};t_re4m_physical_interaction;g_data_source_origin_type is not null and g_data_source_origin_type != '';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D056' and gf_frequency_type='D';27b91e8337;D056;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D056;D
