tabla,tabla_sin_ingesta_ni_calidad,tabla_sin_ingesta_ni_calidad_RAZON,regla_deshabilitada,"regla_deshabilitada
_RAZON",conf regla deshabilitada,tabla regla deshabilitada
t_l9ct_company_metric_year,,,,,#N/A,#N/A
t_l9ct_company_metric_year_cntry ,,,,,#N/A,#N/A
t_l9ct_company_production_unit,,,,,#N/A,#N/A
t_l9ct_country_econ_act_metric,,,,,#N/A,#N/A
t_l9ct_cs_ncs_co_tx_alig_sctr_r,,,,,#N/A,#N/A
t_l9ct_eco_activity_taxo,,,,,#N/A,#N/A
t_l9ct_em_factors_buildings,,,,,#N/A,#N/A
t_l9ct_em_factors_by_sector,,,,,#N/A,#N/A
t_l9ct_em_factors_eur_buildings,,,,,#N/A,#N/A
t_l9ct_em_factors_motor_ve,,,,,#N/A,#N/A
t_l9ct_esg_ext_data_comp_annl,,,,,#N/A,#N/A
t_l9ct_esg_ext_data_companies,,,,,#N/A,#N/A
t_l9ct_esg_scores_industry_taxo,,,,,#N/A,#N/A
t_l9ct_gp_cust_ext_data_comp,,,,,#N/A,#N/A
t_l9ct_green_bonds_secty_flag,,,,,#N/A,#N/A
t_l9ct_grp_clnt_cmpny_crbn_data,,,,,#N/A,#N/A
t_l9ct_grp_clnt_crbn_data_scp3,,,,,#N/A,#N/A
t_l9ct_grp_clnt_paris_alignment,,,,,#N/A,#N/A
t_l9ct_grp_cs_co_tx_align_sctr_r,,,,,#N/A,#N/A
t_l9ct_grp_nclnt_cmpny_crbn_data,,,,,#N/A,#N/A
t_l9ct_grp_nclnt_crbn_data_scp3,,,,,#N/A,#N/A
t_l9ct_grp_nclnt_paris_alignment,,,,,#N/A,#N/A
t_l9ct_grp_ncs_co_tx_alig_sctr_r,,,,,#N/A,#N/A
t_l9ct_industry_agg_esg_scores,,,,,#N/A,#N/A
t_l9ct_inst_esg_scores_dimension,,,,,#N/A,#N/A
t_l9ct_institutions_esg,,,,,#N/A,#N/A
t_l9ct_insts_esg_scores_cases,,,,,#N/A,#N/A
t_l9ct_insts_esg_scores_criteria,,,,,#N/A,#N/A
t_l9ct_insts_esg_scores_general,,,,,#N/A,#N/A
t_l9ct_prod_asset_co_relations,,,,,#N/A,#N/A
t_l9ct_prod_assets_annual,,,,,#N/A,#N/A
t_l9ct_prod_assets_oilgas,,,,,#N/A,#N/A
t_l9ct_prod_assets_oilgas_annual,,,,,#N/A,#N/A
t_l9ct_production_assets,,,,,#N/A,#N/A
t_l9ct_reglty_metric_kpi_taxo_ue,,,,,#N/A,#N/A
t_l9ct_regulatory_metric,,,,,#N/A,#N/A
t_l9ct_regulatory_metric_year,,,,,#N/A,#N/A
t_l9ct_security_titles_metric,,,,,#N/A,#N/A
t_l9ct_sust_comp_scores,,,,,#N/A,#N/A
t_l9ct_sust_sinds_scores,,,,,#N/A,#N/A
t_nols_assets_und_mgmt_isin_lvl,,,,,#N/A,#N/A
t_nols_commerc_external_funds,,,,,#N/A,#N/A
t_nols_external_funds,,,,,#N/A,#N/A
t_nols_external_funds_equity,,,,,#N/A,#N/A
t_nols_internal_funds,,,,,#N/A,#N/A
t_nols_internal_funds_equity,,,,,#N/A,#N/A
t_rzua_contract_output_emissions,,,,,#N/A,#N/A
t_rzua_issuance_output_emissions,,,,,#N/A,#N/A
t_rzua_operations_cust_scope_cib,,,,,#N/A,#N/A
t_rzua_sust_collaterals,,,,,#N/A,#N/A
t_rzua_sust_kpi_link_oper_checkp,,,,,#N/A,#N/A
t_rzua_sust_kpi_link_oper_condit,,,,,#N/A,#N/A
t_rzua_sust_kpi_link_oper_review,,,,,#N/A,#N/A
t_rzua_sust_kpi_link_operation,,,,,#N/A,#N/A
t_rzua_sust_kpi_link_rvw_alert,,,,,#N/A,#N/A
t_rzua_sust_operations_cib,,,,,#N/A,#N/A
t_scat_sustainability_hierarch,,,,,#N/A,#N/A
t_scat_sustainability_master,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
