,,,Nuestro doc: SDM [C360] - Componentes,,Ejemplo correcto:,,,,,,,,,,,,,,,Schema,Componente,,,,Dataproc Live,,,,,Planificación Proceso,,,Adicional,Países en los que aplica (Opcional),,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_cust_prod_mp,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customercustprodmpmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customercustprodmpmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customercustprodmpmmrule-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customercustprodmpmmrule-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_cust_prod_mp,KCPG_customer-cust-prod-mp_KCOG_currency_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-cust-prod-mp_KCOG_currency_MMRule.conf,CUTOFF_DATE,1,Monthly,DQ Local,Local,,,,,KCPG_rules-category_KCOG_country_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulescategorymmrule-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulescategorymmrule-01.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_invest_goals,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_invest_goals,KCPG_customer-invest-goals_MRField.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-invest-goals_MRField.conf,CUTOFF_DATE,2,Monthly,DQ Local,Local,,,,,KCPG_rules-category_KCOG_entity_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulescategorymmrule-02.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulescategorymmrule-02.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_invest_goals,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_invest_goals,KCPG_customer-invest-goals_MRObject.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-invest-goals_MRObject.conf,"CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",1,Monthly,DQ Local,Local,,,,,KCPG_rules-category_KBTQ_customer-info_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulescategorymmrule-03.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulescategorymmrule-03.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_invest_goals,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerinvestgoalsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerinvestgoalsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_invest_goals,KCPG_customer-invest-goals_KBTQ_customer-info_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-invest-goals_KBTQ_customer-info_MMRule.conf,CUTOFF_DATE,1,Monthly,DQ Local,Local,,,,,KCPG_rules-category_KCPG_customer-rules_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulescategorymmrule-04.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulescategorymmrule-04.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_questions,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerquestionsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerquestionsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerquestionsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerquestionsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_questions,KCPG_customer-questions_MRField.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-questions_MRField.conf,CUTOFF_DATE,1,Monthly,DQ Local,Local,,,,,KCPG_rules-movements_MRField.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmrfield-01.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_questions,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerquestionsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerquestionsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerquestionsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerquestionsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_questions,KCPG_customer-questions_MRObject.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-questions_MRObject.conf,"CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",1,Monthly,DQ Local,Local,,,,,KCPG_rules-movements_MRObject.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmrobject-01.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmrfield-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmrfield-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmrfield-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_MRField.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_MRField.conf,CUTOFF_DATE,1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KCOG_country_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-01.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmrobject-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmrobject-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmrobject-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_MRObject.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_MRObject.conf,"CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KCOG_entity_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-02.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-02.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-01.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-01.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-01.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_KCOG_country_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_KCOG_country_MMRule.conf,CUTOFF_DATE,1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KBTQ_customer-info_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-03.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-03.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-02.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-02.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-02.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-02.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_KCOG_currency_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_KCOG_currency_MMRule.conf,CUTOFF_DATE,1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KCPG_customer-rules_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-04.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-04.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-03.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-03.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-03.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-03.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_KCOG_entity_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_KCOG_entity_MMRule.conf,CUTOFF_DATE,1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KCPG_goal-rules_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-05.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-05.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/kcpg/master/t_kcpg_customer_rules,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-04.json?at=refs%2Ftags%2Fv16.1.5,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-04.json?at=refs%2Ftags%2Fv16.1.5,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-customerrulesmmrule-04.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-customerrulesmmrule-04.json?at=refs%2Ftags%2Fv16.1.5",t_kcpg_customer_rules,KCPG_customer-rules_KBTQ_customer-info_MMRule.conf,DELIVERED,15.1.0,KCPG,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/15.1.0/hammurabi/confs/master/kcpg/KCPG_customer-rules_KBTQ_customer-info_MMRule.conf,CUTOFF_DATE,1,Daily,DQ Local,Local,,,,,KCPG_rules-movements_KCPG_general-goals_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-rulesmovementsmmrule-06.json?at=refs%2Ftags%2Fv16.1.5
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-rulesmovementsmmrule-06.json?at=refs%2Ftags%2Fv16.1.5",,,,,,,,,,,,,,,,,,
